price,sqft_price,super_area_sqft,bhk,bathroom,balcony,covered_parking,open_parking,total_parking,facility_score,floor_number,total_floors,property_id,city_id,location_id,property_type_id,transaction_id,furnishing_id,overlooking_id,ownership_id,facing_id,floor_category_id
9500000.0,4669.069462647444,2034.6666666666667,3,3.0,1.0,0,0,0,0,11.0,16.0,106,1,1325,0,2,1,4,1,0,2
9320000.0,9297.0,1003.0,3,3.0,1.0,1,0,1,2,1.0,3.0,107,1,1389,0,0,1,5,1,1,2
23200000.0,17000.0,1367.0,3,3.0,1.0,1,0,1,0,3.0,5.0,108,1,1956,0,0,2,4,1,1,2
10500000.0,8475.0,1239.0,3,2.0,1.0,1,0,1,0,-1.0,24.0,109,1,2173,0,0,2,1,1,1,1
7000000.0,5271.0,1770.6666666666667,3,2.0,1.0,0,0,0,0,4.0,10.0,110,1,570,4,2,1,5,1,0,2
5300000.0,6023.0,1141.3333333333333,2,2.0,1.0,0,0,0,0,3.0,4.0,111,1,722,0,2,0,4,1,0,0
3800000.0,7677.0,926.6666666666666,1,1.0,2.0,0,0,0,0,2.0,2.0,112,1,1334,0,2,1,5,1,0,0
14600000.0,9932.0,1693.3333333333333,3,3.0,1.0,0,0,0,0,7.0,7.0,113,1,1425,0,2,2,0,1,1,0
6500000.0,8553.0,1013.3333333333334,2,2.0,1.0,1,0,1,0,3.0,3.0,114,1,1537,0,2,1,1,1,2,0
11500000.0,8179.0,1528.0,3,3.0,2.0,1,0,1,0,1.0,4.0,115,1,1064,0,2,1,1,1,4,1
10000000.0,8064.0,1386.6666666666667,2,2.0,2.0,2,0,2,0,16.0,16.0,116,1,2173,0,2,1,1,1,7,0
8000000.0,6667.0,800.0,3,3.0,1.0,0,0,0,0,0.0,2.0,117,1,1201,3,2,1,0,1,5,1
4000000.0,4310.0,928.0,2,2.0,1.0,0,0,0,0,1.0,7.0,118,1,459,0,2,0,4,1,0,1
57500000.0,17424.0,3300.0,4,4.0,3.0,0,0,0,0,4.0,10.0,119,1,886,4,2,0,8,1,0,2
5000000.0,5556.0,1266.6666666666667,2,2.0,1.0,1,0,1,0,4.0,10.0,120,1,1085,4,0,1,3,1,2,2
4310000.0,3918.0,1266.6666666666667,3,3.0,1.0,1,0,1,1,4.0,10.0,121,1,2218,3,0,2,5,1,5,2
20000000.0,10953.0,1826.0,3,3.0,2.0,0,0,0,0,3.0,3.0,122,1,902,0,0,1,5,3,7,0
45000000.0,18233.0,2590.6666666666665,4,5.0,2.0,0,0,0,0,0.0,2.0,123,1,1462,0,2,1,0,1,7,1
25000000.0,14132.0,2092.0,3,3.0,1.0,1,0,1,0,9.0,10.0,124,1,2045,0,2,1,5,1,2,0
37000000.0,14203.0,2605.0,4,4.0,2.0,2,0,2,0,4.0,10.0,125,1,1674,4,2,1,0,1,0,2
4500000.0,5500.0,770.6666666666666,2,2.0,1.0,1,0,1,3,3.0,19.0,126,1,1334,0,0,1,1,1,1,1
3600000.0,4105.0,1026.6666666666667,2,2.0,2.0,0,0,0,0,2.0,2.0,127,1,1448,0,2,1,1,1,0,0
45000000.0,12640.0,133.33333333333334,4,4.0,1.0,2,0,2,0,4.0,10.0,128,1,2381,4,0,2,5,1,0,2
17600000.0,7961.0,2222.0,3,3.0,2.0,0,0,0,1,4.0,10.0,129,1,1516,4,0,1,5,1,0,2
15500000.0,9086.0,2106.6666666666665,3,3.0,1.0,1,0,1,0,1.0,2.0,130,1,1389,0,2,1,0,1,1,2
