city,price,sqft_price,posted_by,bhk,property_type,location,transaction,furnishing,bathroom,balcony,facing,overlooking,ownership,super_area_sqft,ready_to_move,covered_parking,open_parking,facility_score,floor_number,total_floors,has_overlooking,floor_ratio,log_price,floor_category,total_parking,has_parking,price_in_lakhs,area_per_bhk,lat,lon,price_segment,price_segment_by_city
chennai,8500000.0,5474.0,agent: brixton homes,3,apartment,kelambakkam,new property,unfurnished,3.0,1.0,east,main road,freehold,1333.3333333333333,1,1,0,0,4.0,14.0,1,0.2857142857142857,15.955576839107596,low,1,1,85.0,444.4444444444444,12.8012825,80.1991871,Budget,Affordable
chennai,7409999.999999999,6500.0,agent: oceans five home,3,apartment,cheran nagar,new property,unfurnished,3.0,2.0,east,insignificant,freehold,1064.0,1,2,0,0,3.0,5.0,1,0.6,15.818341132225028,mid,2,1,74.1,354.6666666666667,13.004405329120878,80.19845550357142,Budget,Affordable
chennai,7800000.0,6500.0,agent: madras two realtor,3,apartment,perumbakkam,new property,unfurnished,3.0,1.0,east,"garden/park, pool, main road",freehold,1040.0,1,1,0,0,3.0,16.0,1,0.1875,15.86963441986494,low,1,1,78.0,346.6666666666667,12.9050095,80.1968629,Budget,Affordable
chennai,16500000.0,10721.0,unknown,3,apartment,sanneerkuppam,new property,unfurnished,2.0,1.0,north,garden/park,freehold,1539.0,0,1,0,0,3.0,5.0,1,0.6,16.61887099947687,mid,1,1,165.0,513.0,13.004405329120878,80.19845550357142,Affordable,Mid-range
chennai,15000000.0,9470.0,agent: fortune estate,3,apartment,anna nagar west,new property,unfurnished,3.0,2.0,north,"garden/park, pool, main road",freehold,1584.0,1,1,0,0,12.0,16.0,1,0.75,16.52356082573315,high,1,1,150.0,528.0,13.0940791,80.1922978,Affordable,Mid-range
chennai,7800000.0,5342.0,unknown,3,apartment,mambakkam,new property,unfurnished,3.0,2.0,east,main road,freehold,1460.0,0,1,0,0,4.0,16.0,1,0.25,15.86963441986494,low,1,1,78.0,486.6666666666667,12.9040038,80.1871795,Budget,Affordable
chennai,11700000.0,9792.0,unknown,3,apartment,akeeswarer colony,new property,unfurnished,3.0,2.0,east,"garden/park, main road",freehold,1162.6666666666667,0,1,0,0,1.0,5.0,1,0.2,16.275099485238066,low,1,1,117.0,387.5555555555556,13.004405329120878,80.19845550357142,Affordable,Mid-range
chennai,10600000.0,8583.0,unknown,2,apartment,katida thozilalar nagar,new property,unfurnished,2.0,1.0,east,garden/park,freehold,1276.0,0,2,0,0,3.0,20.0,1,0.15,16.176364653421913,low,2,1,106.0,638.0,13.004405329120878,80.19845550357142,Affordable,Mid-range
chennai,8890000.0,9500.0,unknown,2,apartment,valasaravakkam,new property,unfurnished,2.0,1.0,east,"garden/park, pool, main road",freehold,936.0,0,1,0,0,1.0,14.0,1,0.07142857142857142,16.00043771997602,low,1,1,88.9,468.0,13.0410164,80.1721682,Budget,Affordable
chennai,7400000.0,5000.0,agent: star flyers properties,3,apartment,gerugambakkam,new property,unfurnished,2.0,2.0,east,"garden/park, pool, main road",freehold,1480.0,1,1,0,0,2.0,5.0,1,0.4,15.816990693309524,mid,1,1,74.0,493.3333333333333,13.0152345,80.1368538,Budget,Affordable
chennai,56300000.0,18010.0,agent: luxclusive homes,3,apartment,ra puram,resale,unfurnished,3.0,1.0,south,pool,freehold,3334.6666666666665,1,2,0,0,2.0,13.0,1,0.15384615384615385,17.846205110871907,low,2,1,563.0,1111.5555555555554,13.0250377,80.2507707,Luxury,Luxury
chennai,3940000.0,5325.0,unknown,2,apartment,guduvancheri,new property,unfurnished,2.0,1.0,east,"garden/park, main road",freehold,800.0,0,0,1,0,2.0,4.0,1,0.5,15.186691535081192,mid,1,1,39.4,400.0,12.8439997,80.0603546,Budget,Budget
chennai,5700000.0,6968.0,unknown,2,apartment,mangadu,new property,unfurnished,2.0,1.0,east,garden/park,freehold,874.6666666666666,0,1,0,0,2.0,19.0,1,0.10526315789473684,15.555976908243359,low,1,1,57.0,437.3333333333333,13.0209113,80.1259365,Budget,Budget
chennai,13000000.0,6700.0,unknown,4,apartment,porur,new property,unfurnished,3.0,2.0,east,insignificant,freehold,1948.0,0,0,0,0,4.0,10.0,0,0.4,16.380459992348886,mid,0,0,130.0,487.0,13.0320131,80.158304,Affordable,Mid-range
